"","Year","EventType","Actor1","Actor2","Country","Region","Location","ConflictLat","ConflictLong","StationID","YrMoDy","MaxTemp","StationName","StationLong","StationLat","TempCat"
"17758",2003,"Violence against civilians","Civilians (Burundi)","Military Forces of Burundi (1996-2005)","Burundi","Bujumbura","Kwigere",-3.35,29.44,638010,20031102,84.59,"KIGOMA",29.66,-4.88,"M"
"20059",2003,"Battles","UPDF: Military Forces of Uganda (1986-)","LRA: Lord's Resistance Army","Uganda","Pader District","""Lagwayi village, Aruu county""",3.04,33.21,636300,20030507,86,"GULU",32.33,2.75,"M"
"21810",2004,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Uganda)","Uganda","Kitgum District","Kitgum",3.27,32.88,629410,20040615,86.9,"JUBA",31.6,4.86,"C"
"29954",2007,"Battles","Unidentified Armed Group (Nigeria)","Military Forces of Nigeria (1999-2007)","Nigeria","Delta State","Aladja",5.33,6.18,652290,20070220,93.59,"BENIN",5.09,6.31,"M"
"14022",2007,"Battles","FACA: Military Forces of Central African Republic (2003-)","APRD: Popular Army for the Restoration of the Republic and Democracy","Central African Republic","Ouham-Pende","Ngaoundaye",7.31,15.61,647060,20070504,82.4,"MOUNDOU",16.06,8.56,"C"
"17578",2007,"Violence against civilians","Police Forces of Equatorial Guinea (1979-)","Civilians (Equatorial Guinea)","Equatorial Guinea","Littoral","Bata",6.13,14.38,648700,20071205,84.4,"NGAOUNDERE",13.56,7.34,"M"
"26090",2004,"Violence against civilians","Police Forces of Nigeria (1999-2007)","Civilians (Nigeria)","Nigeria","Lagos State","Lagos City",6.45,3.39,653440,20040305,89.8,"COTONOU",2.38,6.34,"M"
"13170",1999,"Riots","","Rioters (Ivory Coast)","Ivory Coast","Abidjan","Abobo",5.41,-4.02,655780,19990905,82.4,"ABIDJAN",-3.93,5.25,"C"
"11246",2009,"Riots","Rioters (Mozambique)","","Mozambique","Cabo Delgado","Montepuez",-12.55,40.27,672150,20090727,80.59,"PEMBA",40.53,-12.98,"C"
"1667",2002,"Violence against civilians","ZANU-PF: Zimbabwe African National Union-Patriotic Front Militia","Civilians (Zimbabwe)","Zimbabwe","Harare","Highfield",-17.88,30.99,677750,20020802,68.5,"HARARE (KUTSAGA)",31.13,-17.91,"C"
"20896",2009,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Darfur","Jabal Eisa",15.39,26.04,627600,20091125,86.19,"EL FASHER",25.33,13.61,"C"
"14568",2001,"Battles","Military Forces of Burundi (1996-2005)","Hutu Rebels","Burundi","Bujumbura","Kavumu",-2.89,29.6,643870,20010701,82.8,"KIGALI INTL",30.13,-1.96,"M"
